id,sentences,clauses,phrases
41_0_0,2,2,10
31_1_0,2,2,5
93_2_2,2,2,9
127_0_0,2,2,10
15_2_3,2,2,8
54_4_0,2,2,16
58_2_0,2,2,14
121_0_1,2,5,11
215_0_2,2,2,15
350_2_0,2,2,24
216_2_3,2,2,8
234_1_1,2,2,16
15_2_5,2,2,6
74_0_0,3,5,13
101_0_1,2,2,10
93_0_1,2,2,12
239_1_0,2,3,12
37_8_0,2,2,12
60_0_1,3,4,10
39_0_1,2,4,12
199_0_1,2,3,10
164_0_0,2,2,11
196_0_1,2,4,15
56_1_0,2,2,8
17_4_2,2,2,13
266_5_3,2,3,13
141_1_0,2,4,9
127_3_0,2,4,12
161_0_1,2,2,10
137_0_1,2,2,6
227_1_0,2,2,6
54_5_3,2,2,6
64_1_0,2,2,6
68_2_1,2,2,10
101_1_0,2,2,4
315_3_1,2,4,19
13_7_0,2,2,14
141_4_0,2,2,9
121_3_0,2,4,24
138_2_1,2,5,10
59_1_1,3,4,12
27_0_2,2,3,14
188_2_0,2,2,4
217_0_1,2,2,6
106_3_0,2,2,16
154_0_0,2,2,21
280_3_4,2,5,14
93_3_0,2,2,11
162_0_0,2,3,15
15_3_2,2,2,4
33_1_5,2,2,8
37_7_0,2,2,7
108_1_0,2,2,4
239_1_1,2,2,9
57_0_1,2,2,6
17_11_3,2,2,9
230_0_3,2,3,7
58_0_1,2,3,8
154_4_0,2,4,11
199_1_0,2,2,9
267_0_1,2,3,14
153_0_0,2,2,8
135_2_0,2,2,18
37_3_2,2,2,16
315_5_2,2,3,14
119_0_0,2,4,13
34_0_2,2,2,20
43_0_1,2,2,16
15_3_1,2,2,5
292_1_0,2,2,10
66_3_1,2,3,8
17_4_1,2,2,13
21_2_0,2,4,14
64_0_0,2,4,16
18_0_5,3,5,13
230_0_4,2,3,6
126_5_0,2,2,6
49_1_0,2,6,18
66_2_0,2,5,12
133_1_1,2,2,7
75_1_0,2,2,12
71_0_1,3,4,14
111_1_0,2,4,9
17_2_4,2,2,4
157_0_1,2,4,15
64_3_2,2,2,6
65_0_0,3,3,12
0_0_1,3,3,4
16_1_3,2,2,8
154_1_1,2,3,14
335_0_1,2,2,12
126_4_1,2,2,15
155_0_3,2,2,4
37_0_3,2,2,16
184_0_1,2,2,7
